Id,District,Address,Number,Area,Rent,Bedrooms,Sq.Mt,Floor,Outer,Elevator,Penthouse,Cottage,Duplex,Semidetached,Cluster
1044,Arganzuela,Piso en calle Ariel,,Legazpi,975,1.0,65,1.0,1.0,1.0,0,0,0,0,1
1045,Arganzuela,Piso en Peñuelas,,Acacias,875,1.0,71,2.0,0.0,1.0,0,0,0,0,5
1046,Arganzuela,Piso en paseo de los Melancólicos,,Imperial,1300,2.0,109,3.0,1.0,1.0,0,0,0,0,1
1047,Arganzuela,Ático en calle de Embajadores,,Legazpi,1499,2.0,104,5.0,1.0,1.0,1,0,0,0,2
1048,Arganzuela,Piso en maestro arbós,23,Legazpi,1650,3.0,110,3.0,1.0,1.0,0,0,0,0,1
1049,Arganzuela,Piso en calle del mezquite,s/n,Delicias,1060,2.0,65,3.0,1.0,1.0,0,0,0,0,1
1050,Arganzuela,Piso en calle del General Lacy,6,Palos de Moguer,855,2.0,50,5.0,0.0,1.0,0,0,0,0,5
1051,Arganzuela,Piso en calle del Oriana,,Delicias,1250,2.0,95,1.0,1.0,1.0,0,0,0,0,1
1052,Arganzuela,Piso en calle de Ercilla,,Acacias,750,1.0,35,2.0,0.0,0.0,0,0,0,0,5
1053,Arganzuela,Ático en calle de cáceres,,Chopera,1380,3.0,75,7.0,1.0,1.0,1,0,0,0,2
1054,Arganzuela,Piso en Paseo del Doctor Vallejo Nágera,,Acacias,1400,2.0,90,1.0,1.0,1.0,0,0,0,0,1
1055,Arganzuela,Piso en paseo del Doctor Vallejo Nájera,,Acacias,1400,2.0,91,1.0,1.0,1.0,0,0,0,0,1
1056,Arganzuela,Ático en ronda de Valencia,5,Palos de Moguer,2400,2.0,180,6.0,1.0,1.0,1,0,0,0,2
1057,Arganzuela,Piso en calle aldea del fresno,26,Chopera,775,2.0,72,3.0,0.0,1.0,0,0,0,0,5
1059,Arganzuela,Piso en calle de Las Naves,5,Acacias,1300,3.0,95,2.0,1.0,1.0,0,0,0,0,1
1060,Arganzuela,Ático en calle de Toledo,139,Acacias,1500,3.0,120,7.0,1.0,1.0,1,0,0,0,2
1061,Arganzuela,Piso en calle Puerto de la Cruz Verde,44,Legazpi,950,2.0,67,1.0,1.0,1.0,0,0,0,0,1
1062,Arganzuela,Piso en Delicias,,Delicias,1200,2.0,150,4.0,1.0,1.0,0,0,0,0,1
1063,Arganzuela,Piso en paseo del doctor vallejo nájera,,Imperial,1300,2.0,102,4.0,1.0,1.0,0,0,0,0,1
1064,Arganzuela,Piso en calle de Manzanares,8,Imperial,1100,2.0,56,2.0,0.0,0.0,0,0,0,0,5
1065,Arganzuela,Piso en calle Alejandro Ferrant,4,Delicias,1500,4.0,143,4.0,1.0,1.0,0,0,0,0,1
1066,Arganzuela,Piso en paseo del Doctor Vallejo Nágera,25,Acacias,1400,2.0,90,1.0,1.0,1.0,0,0,0,0,1
1067,Arganzuela,Piso en ronda de Atocha,13,Palos de Moguer,1300,1.0,70,1.0,1.0,1.0,0,0,0,0,1
1068,Arganzuela,Piso en calle de la ribera de curtidores,47,Acacias,950,2.0,70,3.0,1.0,1.0,0,0,0,0,1
1069,Arganzuela,Piso en calle de las Penuelas,34,Acacias,999,1.0,30,3.0,0.0,0.0,0,0,0,0,5
1070,Arganzuela,Piso en Delicias,,Delicias,1600,3.0,110,2.0,1.0,1.0,0,0,0,0,1
1071,Arganzuela,Ático en Acacias,,Acacias,1650,1.0,95,7.0,1.0,1.0,1,0,0,0,2
1072,Arganzuela,Ático en Acacias,,Acacias,1900,1.0,90,7.0,1.0,1.0,1,0,0,0,2
1073,Arganzuela,Piso en Delicias,,Delicias,1400,2.0,143,5.0,1.0,1.0,0,0,0,0,1
1074,Arganzuela,Piso en Palos de Moguer,,Palos de Moguer,875,1.0,50,2.0,1.0,1.0,0,0,0,0,1
